History VAPORIX-Control;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Serial no.;36882;Hardware;2.05;Software;1.43;Protocol;103;Pulse rate;0;Country code;49;PCM;-1;FLG;17
;;;;;;;;;;;;;;;
Side;A;Status;1-0000-0000;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Sensor no.;Date;Error counter;Fuel transfers;Recovery rate in %;Mean value of recovery rate in %;Temperature in °C;VC status;Vapour flow rate in l/min;Fuel flow rate in l/min;Recovery rate (+);Recovery rate (-);;;;
;;;;;;;;;;;;;;;
71725;05.01.2024;0;61628;103;116,8;1,5;36;30,4;29,6;103;;;;;
71725;05.01.2024;0;61627;114;116,5;1,7;36;26,4;23,1;114;;;;;
71725;05.01.2024;0;61626;110;116,5;1,5;36;26,7;24,2;110;;;;;
71725;04.01.2024;0;61625;114;116,5;7,6;45;25,1;21,9;114;;;;;
71725;04.01.2024;0;61624;99;116,5;9;18;29,3;29,6;99;;;;;
71725;04.01.2024;0;61623;99;116,7;8,7;37;30,5;30,9;99;;;;;
71725;04.01.2024;0;61622;107;116,9;8,2;35;32,5;30,2;107;;;;;
71725;04.01.2024;4;61621;161;115,8;7,1;30;34;21,2;161;;;;;
71725;04.01.2024;3;61620;163;115,8;6,2;29;34,4;21,1;163;;;;;
71725;04.01.2024;2;61619;170;115,8;5,5;36;35,9;21,1;170;;;;;
71725;04.01.2024;1;61618;161;115,8;3,7;24;33,8;21;161;;;;;
71725;03.01.2024;0;61617;108;115,8;9,7;49;33;30,6;108;;;;;
71725;03.01.2024;0;61616;110;115,8;11,5;17;34,1;31,1;110;;;;;
71725;03.01.2024;0;61615;99;115,8;11,4;35;30,8;31;99;;;;;
71725;02.01.2024;0;61614;109;115,8;7,4;30;33,6;30,8;109;;;;;
71725;01.01.2024;0;61613;113;115,8;9,4;31;25,4;22,5;113;;;;;
71725;01.01.2024;0;61612;112;115,8;9,5;23;25;22,2;112;;;;;
71725;01.01.2024;0;61611;115;115,8;9,5;32;25,9;22,5;115;;;;;
71725;01.01.2024;0;61610;114;115,8;9,8;33;25,3;22,2;114;;;;;
71725;01.01.2024;1;61609;128;115,8;7,5;31;36,2;28,4;128;;;;;
71725;01.01.2024;0;61608;113;115,8;7,1;37;25,4;22,4;113;;;;;
71725;31.12.2023;0;61607;114;115,8;9,5;49;25,6;22,4;114;;;;;
71725;31.12.2023;0;61606;114;115,8;10;26;33,7;29,6;114;;;;;
71725;31.12.2023;0;61605;108;115,8;10,7;26;32,4;30;108;;;;;
71725;31.12.2023;0;61604;111;115,8;8,3;36;32,4;29,1;111;;;;;
71725;30.12.2023;0;61603;115;115,8;10,5;8;32,1;27,9;115;;;;;
71725;30.12.2023;0;61602;107;115,8;12,2;34;31,1;29;107;;;;;
71725;29.12.2023;0;61601;87;114,7;12,1;54;26,2;30,1;87;;;;;
71725;29.12.2023;0;61600;93;116,5;12,4;24;28,8;30,9;93;;;;;
71725;29.12.2023;0;61599;112;117,5;12,8;7;33,9;30,2;112;;;;;
71725;29.12.2023;0;61598;102;117,5;12,2;34;32;31,4;102;;;;;
71725;29.12.2023;0;61597;115;117,1;11,7;41;35,2;30,7;115;;;;;
71725;29.12.2023;0;61596;112;117,1;10;36;25,1;22,4;112;;;;;
